Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1759620228,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1759620229,5,,Aggregated,0.000000,0.000000,500,650,650,720,720,720,720,720,720,720,720,5,0,500.0,564.0210833982565,460.7061669958057,722.776916998555,8693.4
1759620230,10,,Aggregated,0.000000,0.000000,110,480,500,500,650,720,720,720,720,720,720,11,0,110.0,313.8661893648201,93.79316700506024,722.776916998555,6869.181818181818
1759620231,15,,Aggregated,0.000000,0.000000,95,110,460,480,650,720,720,720,720,720,720,19,0,95,201.62211852699616,12.117125006625429,722.776916998555,5964.894736842105
1759620232,20,,Aggregated,3.000000,0.000000,54,94,110,110,480,650,720,720,720,720,720,32,0,54,133.32146096945507,12.117125006625429,722.776916998555,4318.34375
1759620233,25,,Aggregated,6.333333,0.000000,66,100,120,210,720,3200,3600,3700,3700,3700,3700,54,0,66,356.37839355520015,12.117125006625429,3652.9767499887384,3134.296296296296
1759620234,30,,Aggregated,8.000000,0.000000,62,110,140,230,720,840,3600,3700,3700,3700,3700,87,0,62,278.5513448157955,2.6809580012923107,3652.9767499887384,3718.6436781609195
1759620235,35,,Aggregated,9.400000,0.000000,60,94,120,210,490,750,3200,3600,3700,3700,3700,115,0,60,233.8231775302278,2.6809580012923107,3652.9767499887384,3380.904347826087
1759620236,40,,Aggregated,14.000000,0.000000,66,120,240,280,460,730,3200,3600,3700,3700,3700,146,0,66,231.03849000631584,2.6809580012923107,3652.9767499887384,3327.595890410959
1759620237,45,,Aggregated,15.142857,0.000000,77,120,180,240,350,720,2200,3600,3700,3700,3700,188,0,72,203.22683820136552,2.6809580012923107,3652.9767499887384,3566.4202127659573
1759620238,50,,Aggregated,15.875000,0.000000,84,140,230,280,370,510,840,3200,3700,3700,3700,221,0,84,205.06083539746885,2.6809580012923107,3652.9767499887384,3344.7511312217193
1759620239,50,,Aggregated,19.666667,0.000000,77,120,200,240,350,490,750,3200,3700,3700,3700,271,0,77,182.20913161928945,2.6809580012923107,3652.9767499887384,3590.19926199262
1759620240,50,,Aggregated,20.000000,0.000000,65,110,170,210,330,480,750,2200,3700,3700,3700,307,0,65,165.69107411354773,2.6809580012923107,3652.9767499887384,3457.485342019544
1759620241,50,,Aggregated,25.100000,0.000000,63,110,150,200,320,440,730,2200,3700,3700,3700,362,0,62,153.88085197760898,2.6809580012923107,3652.9767499887384,3454.92817679558
1759620242,50,,Aggregated,26.500000,0.000000,64,110,140,200,320,390,730,2200,3700,3700,3700,386,0,64,150.07442594285683,2.6809580012923107,3652.9767499887384,3385.0958549222796
1759620243,50,,Aggregated,32.200000,0.000000,71,110,170,230,330,450,720,840,3700,3700,3700,433,0,71,156.93186547110602,2.6809580012923107,3652.9767499887384,3214.030023094688
1759620244,50,,Aggregated,34.300000,0.000000,70,110,180,230,330,450,720,840,3700,3700,3700,479,0,70,154.54293354886505,2.6809580012923107,3652.9767499887384,3327.9498956158664
1759620245,50,,Aggregated,37.300000,0.000000,64,110,160,220,330,450,660,750,3700,3700,3700,505,0,64,148.3505855680969,2.6809580012923107,3652.9767499887384,3231.5544554455446
